234,2545,95,106,104,73,1023,669,246,1418,-4480,3600,13728,-1680,1888,252
234,2545,95,106,104,55,1029,669,246,1433,-4448,2944,13840,-1680,1880,268
234,2532,95,115,104,73,1029,669,246,1454,-4016,2016,14064,-1680,1868,280
256,2545,107,115,104,73,1047,669,275,1454,-4016,1280,14160,-1684,1872,276
256,2545,107,135,104,100,1047,669,275,1468,-4032,1584,14384,-1688,1868,260
299,2545,107,164,130,119,1059,696,275,1468,-3904,1728,14416,-1684,1884,272
320,2572,107,164,130,119,1066,696,275,1468,-3792,1888,14400,-1668,1872,280
320,2545,130,164,130,119,1078,696,275,1468,-3824,2096,14288,-1684,1872,272
170,2493,59,77,65,18,1011,481,159,1418,-3824,2096,14288,-1684,1872,272
256,2506,71,115,65,55,1029,588,173,1433,-3984,2432,14464,-1696,1884,268
234,2506,71,115,78,55,1041,588,173,1433,-3680,2416,14352,-1688,1872,268
234,2493,59,86,65,45,1023,481,159,1418,-3760,2272,14192,-1688,1860,284
192,2467,59,77,39,27,1011,481,130,1411,-3776,2144,14288,-1688,1868,268
170,2440,59,77,39,27,1011,481,159,1411,-3824,2192,14176,-1700,1872,292
234,2493,71,86,78,45,1029,588,202,1433,-3840,2272,14320,-1692,1864,288
256,2362,71,164,78,100,1066,321,173,1110,-4256,2032,14032,-1676,1884,244
299,2362,71,183,78,119,1090,374,173,1110,-4144,2032,14208,-1676,1892,244
320,2388,95,183,104,119,1145,401,173,1117,-4352,2112,13952,-1680,1884,244
256,2362,71,144,65,73,1181,374,159,1110,-4336,1792,13632,-1672,1896,248
320,2388,95,193,104,128,1248,481,202,1132,-4400,1632,14160,-1688,1888,240
128,2296,23,86,39,27,1181,321,115,1089,-4400,1632,14160,-1688,1888,240
128,2296,23,86,39,27,1212,294,115,1089,-4384,1648,14240,-1700,1892,232
170,2322,35,106,65,45,1212,321,115,1110,-4384,1680,14000,-1680,1892,240
170,2322,35,106,65,45,1200,374,130,1110,-4176,1808,13984,-1684,1892,232
192,2322,59,115,78,55,1194,401,173,1132,-4032,2016,14112,-1688,1896,232
192,2349,71,135,78,73,1163,401,159,1132,-4096,2256,14096,-1692,1908,228
234,2349,71,144,78,82,1145,401,173,1139,-4096,2384,14016,-1696,1896,224
170,2296,35,115,65,55,1114,321,159,1132,-4208,2432,14080,-1696,1868,220
234,2349,71,144,104,100,1126,401,202,1153,-4464,2560,14080,-1704,1892,208
256,2349,95,144,104,100,1108,401,202,1153,-4592,2400,14144,-1688,1888,204
256,2349,71,144,78,100,1096,374,173,1153,-4464,2032,14192,-1696,1896,200
234,2322,59,115,78,45,1047,321,130,1132,-4464,2032,14192,-1696,1896,200
299,2362,71,164,78,100,1090,321,159,1139,-4464,1744,14128,-1724,1904,188
299,2349,71,135,78,82,1059,294,159,1132,-4576,1984,15008,-1700,1888,180
234,2322,59,115,65,82,1047,240,115,1132,-4800,2544,16656,-1700,1892,176
234,2349,59,115,39,73,1047,240,130,1132,-5040,3184,17824,-1744,1908,152
299,2401,95,135,104,82,1041,321,159,1175,-4784,2768,19152,-1712,1944,120
234,2532,71,115,78,55,1029,321,130,1232,-7488,6576,21280,-1700,1968,100
363,2900,71,106,78,55,1023,374,130,1289,-9856,12384,20704,-1680,2016,88
790,3228,59,86,78,55,1011,535,173,1289,-13056,17248,19200,-1664,2064,108
897,3333,23,57,65,27,992,669,361,1232,-15632,17008,17568,-1644,2100,180
1025,3385,59,86,78,45,1011,883,723,1232,-12960,12416,14832,-1620,2092,296
1132,3818,71,106,104,73,1011,990,1534,1253,-7680,8176,10016,-1588,2064,412
1089,3425,71,115,104,82,1041,1124,2751,1275,-7680,8176,10016,-1588,2064,412
1003,3569,71,106,104,73,1029,1070,5849,1296,-6544,7104,6576,-1520,2012,564
897,3569,59,106,104,73,1023,1070,11583,1368,-5936,6944,6400,-1404,1920,752
769,3635,23,77,39,45,1011,910,17332,1519,1504,1488,11072,-1292,1776,936
769,3805,59,106,78,82,1029,990,21314,1777,-5696,-320,2800,-1032,1440,1144
704,3963,35,106,65,73,1023,910,22081,1934,7808,-7408,11984,-952,1408,1168
704,4317,59,86,65,73,1023,1070,22646,2056,14688,-2608,7424,-872,1304,1208
662,4698,59,115,65,73,1023,1124,23587,2214,11408,-1888,1504,-780,1140,1212
